# B2
0,0,1
0,1,1
1,0,-1
1,2,1
1,3,1
1,4,1
2,2,-1
2,5,1
3,1,-1
3,3,-1
3,6,1
3,7,1
4,4,-1
4,5,-1
4,6,-1
4,8,1
5,7,-1
5,8,-1
6,9,1
6,10,1
7,0,1
7,11,1
7,12,1
7,13,1
8,9,-1
8,14,1
8,15,1
8,16,1
9,11,-1
9,14,-1
9,17,1
10,1,1
10,12,-1
10,18,1
10,19,1
11,10,-1
11,15,-1
11,20,1
11,21,1
12,13,-1
12,16,-1
12,17,-1
12,18,-1
12,20,-1
12,22,1
13,19,-1
13,21,-1
13,22,-1
14,23,1
14,24,1
15,9,1
15,25,1
15,26,1
15,27,1
16,23,-1
16,28,1
16,29,1
16,30,1
17,25,-1
17,28,-1
17,31,1
18,10,1
18,26,-1
18,32,1
18,33,1
19,24,-1
19,29,-1
19,34,1
19,35,1
20,27,-1
20,30,-1
20,31,-1
20,32,-1
20,34,-1
20,36,1
21,33,-1
21,35,-1
21,36,-1
22,23,1
22,37,1
22,38,1
22,39,1
23,37,-1
23,40,1
24,24,1
24,38,-1
24,41,1
24,42,1
25,39,-1
25,40,-1
25,41,-1
25,43,1
26,42,-1
26,43,-1
27,2,1
27,44,1
27,45,1
27,46,1
28,11,1
28,44,-1
28,47,1
28,48,1
29,3,1
29,12,1
29,49,1
29,50,1
29,51,1
30,4,1
30,45,-1
30,49,-1
30,52,1
30,53,1
31,50,-1
31,52,-1
31,54,1
31,55,1
32,13,1
32,47,-1
32,51,-1
32,54,-1
32,56,1
33,46,-1
33,48,-1
33,53,-1
33,55,-1
33,56,-1
34,14,1
34,57,1
34,58,1
34,59,1
35,25,1
35,57,-1
35,60,1
35,61,1
36,15,1
36,26,1
36,62,1
36,63,1
36,64,1
37,16,1
37,58,-1
37,62,-1
37,65,1
37,66,1
38,63,-1
38,65,-1
38,67,1
38,68,1
39,27,1
39,60,-1
39,64,-1
39,67,-1
39,69,1
40,59,-1
40,61,-1
40,66,-1
40,68,-1
40,69,-1
